"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"ORST198  PZ-01 SP2021139395","ORST198  PZ-01 SP2021","915","1030","---W-F-","TBA    ","OnCampus"
"PE  005E JP-01 SP2021139708","PE  005E JP-01 SP2021","0","0","-------","ONLI    ","OnCampus"
"PE  008C JP-01 SP2020127194","PE  008C JP-01 SP2020","2000","2100","-M-W---","OTHR    ","OnCampus"
"PE  010  JP-01 SP2021137470","PE  010  JP-01 SP2021","0","0","-------","ONLI    ","OnCampus"
"PE  012  JP-01 SP2020127200","PE  012  JP-01 SP2020","1600","1700","-------","LACGYM ","OnCampus"
"PE  013  JP-01 SP2020127201","PE  013  JP-01 SP2020","0","0","-------","OTHR    ","OnCampus"
"PE  013  JP-01 SP2021137492","PE  013  JP-01 SP2021","0","0","-------","ONLI    ","OnCampus"
"PE  013A JP-01 SP2020127202","PE  013A JP-01 SP2020","0","0","-------","OTHR    ","OnCampus"
"PE  013C JP-01 SP2020127204","PE  013C JP-01 SP2020","1900","1955","--T--F-","RPAV124 ","OnCampus"
"PE  014  JP-02 FA2020131311","PE  014  JP-02 FA2020","0","0","-------","ONLI    ","OnCampus"
"PE  015  JP-02 SP2020127208","PE  015  JP-02 SP2020","0","0","-------","CMPEPOOL","OnCampus"
"PE  020B PO-01 SP2021138782","PE  020B PO-01 SP2021","1100","1215","-M-W---","ONLISYNC","OnCampus"
"PE  021  JP-01 SP2020127217","PE  021  JP-01 SP2020","1610","1715","--T----","TIER001 ","OnCampus"
