"calendarSessionExternalId","courseSectionExternalId"
"FA2020","ART 128  PO-01 FA2020"
"SP2020","ART 131  PO-01 SP2020"
"SP2020","ART 133  PZ-01 SP2020"
"SP2020","ART 134  SC-01 SP2020"
"SP2020","ART 135  SC-01 SP2020"
"FA2020","ART 135  SC-01 FA2020"
"SP2020","ART 136  SC-01 SP2020"
"SU2020S5","ART 136  SC-01 SU2020S5"
"FA2020","ART 138  SC-01 FA2020"
"SP2020","ART 139  PO-01 SP2020"
"SP2021","ART 139  PO-01 SP2021"
"SP2020","ART 141  SC-01 SP2020"
"SP2020","ART 141  SC-02 SP2020"
"FA2020","ART 141  SC-01 FA2020"
"FA2020","ART 141  SC-02 FA2020"
"SP2021","ART 141  SC-01 SP2021"
"SP2021","ART 141  SC-02 SP2021"
"SP2020","ART 142  SC-01 SP2020"
"FA2020","ART 142  SC-01 FA2020"
"SP2021","ART 142  SC-01 SP2021"
"SP2020","ART 143  SC-01 SP2020"
"FA2020","ART 143  SC-01 FA2020"
"SP2021","ART 143  SC-01 SP2021"
"SP2020","ART 145  SC-01 SP2020"
"SP2021","ART 147  SC-01 SP2021"
"SP2020","ART 148  SC-01 SP2020"
"SP2020","ART 148  SC-01 SP2020"
"SP2020","ART 149  SC-01 SP2020"
"FA2020","ART 151  JT-01 FA2020"
"SP2021","ART 151  PZ-01 SP2021"
"SP2021","ART 151  PZ-01 SP2021"
"SP2021","ART 151  PZ-02 SP2021"
"SP2020","ART 179G HM-01 SP2020"
"SP2020","ART 179G HM-01 SP2020"
"SP2021","ART 179G HM-01 SP2021"
"SU2020S1","ART 179H HM-01 SU2020S1"
"SU2020S1","ART 179H HM-01 SU2020S1"
"SP2021","ART 181  SC-01 SP2021"
"SP2020","ART 181G SC-01 SP2020"
"FA2020","ART 181M SC-01 FA2020"
"SP2021","ART 181M SC-01 SP2021"
"SP2020","ART 181N SC-01 SP2020"
"FA2020","ART 189  PZ-01 FA2020"
"SP2021","ART 189A PO-01 SP2021"
"FA2020","ART 190  PO-01 FA2020"
"SP2020","ART 192  PO-04 SP2020"
"SP2021","ART 192  PO-04 SP2021"
"FA2020","ART 192  SC-01 FA2020"
"SP2020","ART 193  SC-01 SP2020"
"SP2021","ART 193  SC-01 SP2021"
"SP2020","ART 196  PZ-01 SP2020"
"SP2021","ART 196  PZ-01 SP2021"
"SI2020","ART 198  SC-01 SI2020"
"SP2020","ART 198  SC-01 SP2020"
